sugar to flour ratio,sugar index,bake temp,chill time,calories,density,pH,grams baking soda,bake time,quality,butter type,weight,diameter,mixins,crunch factor,aesthetic appeal
0.27,10.6,390,31,119,0.99815,8.27,0.3,9.3,8,melted,15.2,7,raisins,1.43,3
0.26,2.1,390,8,143,0.9942,8.05,0.74,9.8,7,melted,15.8,7,"chocolate, oats",1.35,3
0.36,1.4,450,11,119,0.99556,8.17,0.47,9.4,6,melted,17.2,7,raisins,1.54,3
0,1.9,650,9,18,0.9972,8.46,0.65,9.2,5,cubed,13,7,"nuts, oats, chocolate",1.58,3
0.16,1.8,650,3,16,0.9962,8.42,0.92,10.5,7,cubed,16,7,"nuts,raisins",1.28,3
0.24,9.6,1190,56,178,0.99578,8.15,0.44,10.2,8,melted,14.3,7,"chocolate, oats",1.51,3
0.23,1.4,470,20,77,0.99001,8.32,0.62,11.4,7,melted,10.4,7,chocolate,1.41,3
0.33,1.2,490,12,117,0.99134,8.46,0.44,11.5,7,melted,11.8,7,"nuts, chocolate",1.67,3
0.37,9.7,320,17,50,0.9932,8.08,0.66,12,8,melted,12,7,"chocolate, oats",1.08,3
0.23,5,530,29,106,0.99458,8.13,0.52,9,7,melted,11.6,7,raisins,1.76,3
1,19.95,320,42,164,0.99742,8.29,0.5,12,8,melted,15.4,7,"nuts, chocolate",1.16,3
0.07,1.3,350,26,102,0.992,8.5,0.35,10.6,8,melted,10.6,7,raisins,1.7,3
0.46,2.5,730,5,27,1.0001,8.05,0.64,9.5,5,cubed,21.6,7,"nuts,raisins",1.07,3
0.41,7,460,0,194,0.99558,8.14,0.48,9.4,7,melted,13.2,7,chocolate,1.52,3
0.27,9.9,470,26,101,0.99596,8.34,0.5,9.9,8,melted,12.8,7,"chocolate, oats",1.01,3
0.38,14.9,320,60,181,0.9983,8.18,0.61,9.3,9,melted,14,7,raisins,1.65,3
0.13,2.1,1020,17,36,0.9944,8.24,0.53,11.2,6,cubed,15.6,7,"nuts,raisins",1.66,3
0.31,6.3,290,41,131,0.99326,8.08,0.49,10.8,8,melted,13.8,7,chocolate,1.49,3
0.4,2.6,920,13,52,0.99834,8.22,0.64,10,7,cubed,20.2,7,"nuts, chocolate",1.3,3
0.34,9.7,350,26,143,0.9965,8.08,0.49,9.8,8,melted,15.2,7,chocolate,1.4,3
0.48,8.8,560,35,167,0.99628,8.04,0.47,9.4,7,melted,13.4,7,raisins,1.84,3
0.3,13.9,290,34,131,0.9953,8.36,0.5,12,9,melted,13.4,7,chocolate,1.98,3
0.42,7.1,450,41,169,0.9959,8.17,0.43,10.6,7,melted,16,7,chocolate,1.14,3
0.25,12.5,340,38,152,0.9977,8.33,0.43,9.4,7,melted,11.8,7,chocolate,1.85,3
0.58,1.4,2040,15,97,0.9931,8.16,0.43,10,8,melted,12.6,7,chocolate,1.09,3
0.34,16.3,510,56,197,1.0004,8.49,0.42,9.8,7,melted,13,7,chocolate,1.54,3
0.27,13.9,570,45,155,0.99807,7.94,0.41,8.8,10,melted,14.6,7,"chocolate, oats",1.03,3
0.62,11,470,66,178,0.9976,8.16,0.5,8.7,7,melted,14.4,7,raisins,1.77,3
0.37,3.2,210,20,80,0.99076,8.39,0.47,12,7,melted,12.3,7,chocolate,1.55,3
0.31,2.2,440,29,128,0.9937,8.34,0.64,10.9,10,melted,14.2,7,chocolate,1.91,3
0.42,1.7,450,49,154,0.992,8,0.6,10.4,8,melted,14.8,7,"chocolate, oats",1.39,3
0.14,,360,38,155,0.99622,8.27,0.5,9.4,7,melted,12.4,7,raisins,1.82,3
0.49,2.7,980,12,42,1.0004,8.16,0.61,10.3,5,cubed,23.8,7,raisins,1.18,3
0.41,12.9,440,79.5,182,0.99742,8.24,0.78,10.2,8,melted,13.6,7,"chocolate, oats",1.34,3
0.26,9.55,360,35,91,0.9919,7.98,0.37,12.4,8,melted,13.4,7,raisins,1.21,3
0.49,1.1,480,21,98,0.9929,8.19,0.48,9.2,7,melted,11.6,7,"chocolate, oats",1.7,3
0.19,0.8,480,17,204,0.9934,8.34,0.56,10,7,melted,13.2,7,"raisins, oats",1.19,3
0.29,4,380,33,170,0.99463,8.27,0.64,10.2,8,melted,14.2,7,raisins,1.75,3
0.24,5.1,360,43,131,0.99186,8.24,0.44,11.3,8,melted,12.6,7,"nuts, chocolate",1.15,3
0.28,1.2,310,33,97,0.99126,8.49,0.58,10.9,8,melted,11.2,7,raisins,1.6,3
0.19,6.6,450,98,175,0.99364,8.16,0.34,10.1,8,melted,13,7,chocolate,1.76,3
0.26,1.2,500,11.5,88,0.9946,8.24,0.37,9.5,6,melted,16,7,raisins,1.49,3
0.32,1.4,430,28,93,0.9897,8.31,0.5,12.3,8,melted,11.4,7,raisins,1.42,3
0.06,1,300,9,131,0.9904,7.97,0.29,10.8,7,melted,12.8,7,"nuts, chocolate",1.81,3
0.23,5.8,350,24,100,0.99062,8.15,0.57,13.2,9,melted,14.2,7,"nuts, chocolate",1.69,3
0.33,4.9,470,42,130,0.99283,8.12,0.56,11,8,melted,13.6,7,"chocolate, oats",1.21,3
0.25,5.8,380,52,155,0.995,8.28,0.38,9.4,8,melted,12.6,7,chocolate,1.09,3
0.34,1.2,480,4,119,0.99084,8.18,0.34,12.1,8,melted,15.4,7,raisins,1.91,3
0.22,2.7,840,4,18,0.99682,8.26,0.57,9.9,6,cubed,16.8,7,"nuts,raisins",1.4,3
0.38,8.6,520,41,150,0.99534,8.06,0.46,10.3,7,melted,14.8,7,chocolate,1.32,3
0.18,7.5,410,71,223,0.9959,8.14,0.41,8.9,7,melted,13.6,7,raisins,1.48,3
0.21,5.1,350,29,142,0.9942,8.36,0.33,10.1,9,melted,12.6,7,chocolate,1.51,3
0.31,4.8,340,34,132,0.9944,8.36,0.48,9.6,9,melted,14,7,"chocolate, oats",1.03,3
0.16,1.3,540,11,107,0.99398,8.19,0.39,8.5,7,melted,13,7,raisins,1.09,3
0.31,5.6,490,24,97,0.993,8.1,0.42,10.9,7,melted,16,7,chocolate,1.66,3
0.29,4.9,360,41,150,0.99168,8.38,0.43,12.2,8,melted,14,7,raisins,1.39,3
0.39,6.4,340,8,84,0.9942,8.18,0.46,11.5,7,melted,14.6,7,chocolate,1.16,3
0.28,14.7,510,29,149,0.99792,7.96,0.39,9,9,melted,14,7,"chocolate, oats",1.43,3
0.21,2.2,440,15,68,0.9932,8.17,0.39,9.4,8,melted,13.6,7,raisins,1.75,3
0.49,4.5,480,27,133,0.9946,8.24,0.42,10.6,8,melted,15.8,7,"chocolate, oats",1.16,3
0.31,0.95,210,52,148,0.99038,7.93,0.32,11.5,7,melted,16.8,7,raisins,1.86,3
0.22,1.5,430,45,155,0.99238,8.19,0.48,10.2,7,melted,12.6,7,"chocolate, oats",1.13,3
0.28,5,350,42,126,0.99048,8.12,0.38,12.6,9,melted,13.6,7,chocolate,1.7,3
0.24,1.5,360,38,124,0.9898,8.29,0.42,12.4,9,melted,12.2,7,raisins,1.77,3
0.2,1.9,770,28,54,0.9956,8.37,0.64,10.4,6,cubed,14.2,7,"nuts, chocolate",1.48,3
0.51,8,470,61,189,0.99604,8.22,0.49,9.2,7,melted,13.2,7,chocolate,1.91,3
0,2.2,730,12,22,0.9969,8.48,0.5,9.3,5,cubed,14.2,7,"nuts, oats, chocolate",1.94,3
0.39,12.4,650,29,119,0.9974,8.16,0.39,9.4,7,melted,15,7,raisins,1.49,3
0.32,7.75,320,30,114,0.99158,8.12,0.64,12.8,9,melted,14,7,chocolate,1.36,3
0.21,4.1,740,16,65,0.99842,8.53,0.72,9.233333333,6,cubed,13.8,7,"chocolate, peanut butter",1.47,3
0.49,1.1,300,28,117,0.9918,8.55,0.45,10.3,8,melted,11.2,7,"chocolate, oats",1.62,3
0.24,5.4,350,33,115,0.9901,8.12,0.44,12.89333333,9,melted,13.4,7,"nuts, chocolate",1.07,3
0.32,10.6,490,38,209,0.9981,8.47,0.59,9.3,8,melted,12.6,7,"nuts, chocolate",1.6,3
0.35,2.8,380,10,164,0.9912,8.09,0.53,12,8,melted,13.6,7,raisins,1.27,3
0.28,5,580,14,146,0.9952,8.29,0.36,9.1,8,melted,13.8,7,"chocolate, oats",1.68,3
0.48,1.2,290,29,75,0.9892,8.33,0.39,12.8,10,melted,12.4,7,"nuts, oats, chocolate",1.2,3
0.14,8.9,360,38,155,0.99622,8.27,0.5,9.4,7,melted,12.4,7,raisins,1.99,3
0.32,1.9,380,40,118,0.99074,8.32,0.53,11.8,9,melted,12.8,7,chocolate,1.17,3
0.34,1.6,1190,33,104,0.9921,8.19,0.38,10.2,8,melted,12,7,chocolate,1.25,3
0.49,15.4,460,13,119,1.0004,8.18,0.45,9.5,7,melted,19.6,7,raisins,1.75,3
0.3,1.6,460,29,130,0.9942,8.22,0.38,9.8,8,melted,17.4,7,"chocolate, oats",1.03,3
0.36,15.7,450,68,183,0.99922,8.25,0.76,9.4,7,melted,14.4,7,chocolate,1.05,3
0.4,1.2,760,47,130,0.99185,8.13,0.45,10.3,8,melted,11.6,7,chocolate,1.45,3
0.31,9.4,460,6,194,0.99714,8.07,0.61,9.4,7,melted,15.2,7,"nuts, chocolate",1.22,3
0.26,2.1,620,26,87,0.98974,8.1,0.47,12.8,8,melted,16.4,7,raisins,1.7,3
0.74,13.5,390,46,165,0.9982,8.02,0.4,8.7,7,melted,14.6,7,raisins,1.87,3
0.36,10.7,440,20,90,0.9959,8.16,0.44,10.9,9,melted,14.2,7,"chocolate, oats",1.34,3
0.07,1.7,860,15,48,0.99502,8.12,0.48,10,5,cubed,14.8,7,"nuts, oats",1.17,3
0.32,2.4,450,29,100,0.99135,8.08,0.6,11.3,9,melted,15,7,chocolate,1.95,3
0.28,4.8,850,12,69,0.99633,8.32,0.7,11,6,cubed,14,7,"nuts,raisins",1.79,3
0.37,1.5,430,16,104,0.99216,8.18,0.5,10.8,7,melted,14,7,"chocolate, oats",1.42,3
0.4,7.3,410,49,115,0.99268,8.21,0.43,11,8,melted,13,7,chocolate,1.64,3
0.24,14,480,24,113,0.9982,8.44,0.53,9.8,8,melted,13,7,"nuts, chocolate",1.14,3
0.21,2,390,21,120,0.99188,8,1,12.6,8,melted,19.2,7,"nuts, oats, chocolate",1.82,3
0.32,5.8,410,20,119,0.99296,8.17,0.55,11.2,8,melted,13.8,7,chocolate,1.04,3
0.45,8.6,570,47,223,0.99654,8.16,0.51,9.1,7,melted,12.8,7,chocolate,1.54,3
0.7,12.15,390,21,158,0.9983,8,0.73,9.3,8,melted,17.2,7,raisins,1.23,3
0.33,1.4,290,35,138,0.99114,8.36,0.6,11.5,9,melted,13,7,"chocolate, oats",1.12,3
0.41,1.4,160,6,55,0.98876,8.16,0.4,13.4,7,melted,13.8,7,chocolate,1.84,3
0.55,5.9,450,75,162,0.99482,7.97,0.4,9.3,7,melted,13,7,"chocolate, oats",1.97,3
0.21,2.3,870,21,68,0.9955,8.12,0.44,9.2,5,cubed,15.2,7,"nuts, oats",1.34,3
0.3,12.8,620,19,171,0.99808,8,0.52,9,9,melted,13.6,7,"chocolate, oats",1.39,3
0.12,11.5,330,35,165,0.9974,8.22,0.32,9,7,melted,13,7,raisins,1.27,3
0.37,1.4,740,12,96,0.9954,8.32,0.58,9.2,5,cubed,11.2,7,raisins,1.72,3
0.51,15.3,470,54,171,0.9987,8.09,0.51,9.1,7,melted,15.8,7,raisins,1.11,3
0.31,2.4,740,9,46,0.9962,8.41,0.54,9.4,6,cubed,14.6,7,raisins,1.02,3
0.47,6.5,610,23,150,0.9954,8.14,0.45,9.6,8,melted,13.2,7,raisins,1.55,3
0.31,1.2,260,31,68,0.9898,8.33,0.44,11.65,8,melted,11,7,"chocolate, oats",1.2,3
0.24,12.6,440,48,118,0.99726,8.04,0.56,10,9,melted,14.2,7,chocolate,1.68,3
0.32,1.1,390,25,78,0.9926,8.39,0.54,10.2,9,melted,13.2,7,chocolate,1.98,3
0.19,4.2,460,6,114,0.9955,8.25,0.35,8.6,6,melted,13,7,chocolate,1.21,3
0.19,7.1,480,36,110,0.99438,8.26,0.41,9.5,8,melted,10.8,7,"chocolate, oats",1.48,3
0.17,8.2,400,13,60,0.9956,8.09,0.3,9.5,6,melted,16,7,"nuts,raisins",1.48,3
0.28,4.5,510,14,92,0.99224,8.36,0.58,11.9,8,melted,13.4,7,chocolate,1.17,3
0.65,8.3,830,27,182,0.9964,8,0.35,9.2,7,melted,14.4,7,"nuts, chocolate",1.64,3
0.33,1.2,330,20,72,0.9922,8.12,0.38,10.5,9,melted,15.8,7,"chocolate, oats",1.56,3
0.42,1.5,410,35,125,0.9925,8.11,0.49,11.4,9,melted,17.2,7,chocolate,1.45,3
0,1.9,970,14,38,0.99675,8.37,0.58,9,6,cubed,14.4,7,"nuts, oats, chocolate",1.2,3
0.28,2.2,420,21,177,0.99166,8.2,0.57,11.4,7,melted,14,7,raisins,1.89,3
0.09,6.3,420,0,138,0.99382,8.15,0.48,9.7,7,melted,11.6,7,raisins,1.54,3
0.74,12.5,370,47,156,0.9981,8.04,0.44,8.7,7,melted,14.4,7,chocolate,1.62,3
0.32,9,390,54,141,0.9956,8.22,0.43,9.4,8,melted,14,7,"chocolate, oats",1.63,3
0.34,5.3,340,33,104,0.9953,8.37,0.52,9.3,9,melted,14.2,7,"chocolate, oats",1.22,3
0.12,10.4,960,22,177,0.9983,8.32,0.45,9.1,6,melted,15.2,7,"nuts,raisins",1.52,3
0.28,1.5,430,19,113,0.99338,8.38,0.56,10.1,8,melted,14.6,7,chocolate,1.87,3
0.32,1.4,480,10,67,0.992,8.08,0.41,11.4,7,melted,12.8,7,"nuts, chocolate",1.7,3
0.52,2.2,740,13,25,0.99509,8.36,0.76,12.4,7,cubed,19.2,7,raisins,1.32,3
0.25,9.8,490,59.5,137,0.995,8.16,0.38,,8,melted,13.2,7,"chocolate, oats",1.46,3
0.37,7.1,470,54,201,0.99523,8.19,0.48,9.5,8,melted,12.4,7,chocolate,1.32,3
0.22,8.8,520,24,113,0.99576,8.22,0.45,9.4,7,melted,13.4,7,"nuts, chocolate",1.21,3
0.31,1.1,450,20,73,0.9925,8.32,0.4,10.8,9,melted,14.4,7,"chocolate, oats",1.41,3
0.3,7.9,490,38,157,0.9963,8.13,0.48,8.9,8,melted,14.8,7,chocolate,1.81,3
0.11,2.6,790,12,49,0.9968,8.21,0.57,10,5,cubed,15.2,7,"nuts, chocolate",1.36,3
0.27,10.9,380,29,130,0.99496,8.11,0.44,10.5,9,melted,13.2,7,chocolate,1.64,3
0.2,2.2,490,18,134,0.99378,8.21,0.68,10,7,melted,11.2,7,chocolate,1.79,3
0.28,2.7,330,38,94,0.99075,7.99,0.43,11.8,9,melted,14.4,7,chocolate,1.79,3
0.25,3.4,760,34,85,0.99668,8.19,0.42,9.2,5,cubed,16,7,"chocolate, peanut butter",1.39,3
0.07,7,440,33,147,0.9944,8.33,0.58,9.7,7,melted,10.4,7,"nuts, oats, chocolate",1.21,3
0.22,5.6,390,31,128,0.99296,8.12,0.46,10.4,8,melted,12.6,7,chocolate,1.28,3
0.48,6.8,470,13,134,0.99616,8.23,0.7,10,7,melted,16,7,chocolate,1.6,3
0.45,1.5,570,19,37,0.99498,8.18,0.89,11.1,7,cubed,18.6,7,raisins,1.86,3
0.28,4,400,24,81,0.9903,8.26,0.64,12.6,9,melted,12.8,7,raisins,1.62,3
0.28,6.3,570,17,103,0.9957,8.5,0.44,9.6,7,melted,14,7,"chocolate, oats",1.73,3
0.24,1.1,390,6,62,0.9934,8.41,0.32,10.4,7,melted,13.4,7,"nuts, oats, chocolate",1.99,3
0.45,4.4,460,57,166,0.9943,8.13,0.62,11.2,8,melted,14.4,7,"chocolate, oats",1.04,3
0.14,8.6,320,30,142,0.99542,8.28,0.44,9.5,8,melted,11.8,7,chocolate,1.21,3
0.31,2.8,470,40,122,0.99126,8.06,0.64,10.9,9,melted,13.6,7,chocolate,1.76,3
0.24,1.6,540,25,117,0.9943,8.36,0.5,9.3,7,melted,12.8,7,raisins,1.85,3
0.62,7.1,330,48,185,0.99472,8.14,0.62,10.6,8,melted,14.6,7,raisins,1.24,3
0.31,10.7,380,59,186,0.9969,8.12,0.55,9.5,8,melted,15.4,7,chocolate,1.34,3
0.31,7.6,470,52,177,0.9962,8.13,0.45,8.9,8,melted,14.8,7,chocolate,1.92,3
0.34,6.7,290,21,162,0.99497,8.08,0.5,10.6,8,melted,18,7,chocolate,1.48,3
0.25,3.9,1040,28,90,0.99784,8.15,0.57,9.1,5,cubed,15.2,7,"nuts, chocolate",1.53,3
0.03,2.3,770,7,28,0.99568,8.35,0.52,10,5,cubed,14.4,7,"nuts,raisins",1.01,3
0.37,1,380,6,-99,0.9902,8.37,0.34,11.4,7,melted,11.2,7,raisins,1.67,3
0.25,14.3,440,27,149,0.998,7.91,0.46,9.2,8,melted,14,7,"chocolate, oats",1.15,3
0.37,6.1,270,38,112,0.99086,8.19,0.34,12.4,8,melted,13.8,7,chocolate,1.93,3
0.26,1.4,410,40,141,0.9941,8.34,0.72,9.5,8,melted,13,7,"chocolate, oats",1.37,3
0.34,8.9,480,32,111,0.99455,8.25,0.54,11,9,melted,13.4,7,chocolate,1.12,3
0.28,2.4,120,36,100,0.99064,8.26,0.39,11.7,9,melted,13.4,7,chocolate,1.82,3
0.3,3.1,180,15,37,0.99004,8.02,0.52,11.9,9,melted,14.2,7,"chocolate, oats",1.47,3
0.65,2.6,930,15,47,0.9996,8.05,0.61,10.6,5,cubed,26,7,raisins,1.31,3
0.26,1.6,580,53,150,0.9936,8.18,0.5,9.9,9,melted,14.8,7,chocolate,1.88,3
0.27,4,380,37,97,0.99026,8.2,0.6,12.6,10,melted,13,7,raisins,1.03,3
0.21,5.1,350,29,142,0.9942,8.36,0.33,10.1,9,melted,12.6,7,chocolate,1.52,3
0.49,16.8,480,50,228,1.0001,8.03,0.52,9.2,8,melted,16.6,7,chocolate,1.31,3
0.49,1.5,520,34,134,0.9924,7.99,0.61,9.8,8,melted,12.6,7,chocolate,1.87,3
0.46,3.8,410,82,187,0.9932,8.19,0.6,11.2,9,melted,14.4,7,"chocolate, oats",1.49,3
0,1.9,580,5,10,0.9977,8.18,0.63,10.4,6,cubed,18.2,7,"nuts, oats, chocolate",1.16,3
0.4,1.7,310,48,134,0.9917,8.42,0.49,11.5,8,melted,12.6,7,chocolate,1.74,3
0.38,1,370,21,74,0.9918,8.21,0.37,11,7,melted,14.4,7,chocolate,1.47,3
0.25,7.8,580,44,166,0.9961,8.24,0.41,9,7,melted,12.6,7,chocolate,1.93,3
0.47,2.5,630,9,28,0.9981,8.24,0.65,10.8,6,cubed,19.6,7,"nuts, chocolate",1.91,3
0.42,15.1,330,28,124,0.99684,7.87,0.47,9.5,7,melted,12.2,7,"chocolate, oats",1.39,3
0.1,3.1,860,5,12,0.9958,8.54,0.6,11.2,4,cubed,15,7,"chocolate, oats, peanut butter",1.89,3
0.36,1.3,360,40,117,0.9934,8.27,0.95,9.5,9,melted,13.8,7,"chocolate, oats",1,3
0.06,2,600,4,11,0.99592,8.53,0.64,10.9,4,cubed,13.6,7,"raisins, oats",1.85,3
0.24,8.5,550,45,151,0.99626,8.2,0.52,9.2,7,melted,14.4,7,"nuts, chocolate",1.95,3
0.33,10.7,360,27,98,0.99521,8.34,0.52,10.2,8,melted,12.2,7,raisins,1.75,3
0.32,5.6,390,15,68,0.99163,7.96,0.52,11.1,8,melted,13.2,7,chocolate,1.58,3
0.49,2.6,940,38,106,0.9982,8.08,0.59,9.1,5,cubed,18.2,7,"nuts, chocolate",1.06,3
0.34,5.1,620,8,22,0.9974,8.22,0.94,10.9,6,cubed,16.4,7,chocolate,1.95,3
0,4.1,950,5,14,0.99854,8.36,0.53,9.6,5,cubed,16.2,7,"chocolate, peanut butter",1.49,3
0.25,10.6,390,32,120,0.9962,8.31,0.34,10.1,8,melted,13,7,chocolate,1.86,3
0.25,19.1,450,50,208,1.00051,8.05,0.5,9.2,8,melted,16,7,chocolate,1.5,3
0.06,2.5,790,5,10,0.9967,8.39,0.56,9.8,5,cubed,15.2,7,"raisins, oats",1.94,3
0.27,6.6,540,40,158,0.99378,8.2,0.48,10.3,7,melted,12.6,7,chocolate,1.8,3
0.41,16.8,840,59,222,0.9993,8.18,0.58,9,7,melted,13,7,"nuts, chocolate",1.54,3
0.14,1.5,740,25,168,0.9937,8.05,0.51,9.3,7,melted,15.2,7,"nuts, oats, chocolate",1.97,3
0.91,8.2,340,50,199,0.99394,8.39,0.49,11.7,8,melted,12.6,7,raisins,1.73,3
0.31,3.6,360,22,91,0.99278,8.41,0.5,9.8,8,melted,10.6,7,chocolate,1.45,3
0.3,13,430,46,238,0.9986,8.06,0.41,8.7,8,melted,14.6,7,chocolate,1.8,3
0.43,8.9,830,50,171,0.9965,7.85,0.5,9,7,melted,13,7,chocolate,1.24,3
0.36,2,290,21,63,0.99076,8.13,0.63,12.5,8,melted,14.4,7,chocolate,1.37,3
0.2,17.9,660,36,161,0.9991,8.14,0.51,8.8,7,melted,12.6,7,raisins,1.8,3
0.51,1.7,4150,12,66,0.99623,8,1.17,9.2,5,cubed,17.4,7,"nuts, oats",1.86,3
0.32,7.4,1750,47,159,0.9952,8.19,0.5,9.4,8,melted,12,7,raisins,1.33,3
0.26,1.4,390,30,104,0.98998,8.32,0.41,12.4,8,melted,12,7,"chocolate, oats",1.09,3
0.24,2.7,920,14,44,0.998,8.12,0.74,10,6,cubed,19,7,"nuts, chocolate",1.14,3
0.08,2.1,710,16,24,0.99376,8.56,0.77,11.1,6,cubed,11.8,7,"nuts, oats, chocolate",1.93,3
0.29,15.4,730,56,173,0.9984,8.06,0.41,8.7,8,melted,13.6,7,chocolate,1.99,3
0.1,3.5,440,17,63,0.9937,8.01,0.39,9.2,7,melted,14,7,raisins,1.26,3
0.25,7.8,310,24,116,0.99241,8.39,0.4,11.3,8,melted,10,7,raisins,1.56,3
0.3,0.9,190,4,28,0.98931,8.2,0.36,12,8,melted,14.2,7,chocolate,1.32,3
0.36,15.7,500,29,124,0.9968,8.06,0.54,10.4,7,melted,15,7,chocolate,1.1,3
0.49,2.5,970,33,85,0.9962,8.39,0.77,11.4,6,cubed,14,7,raisins,2,3
0.27,11.6,280,22,97,0.99314,7.96,0.38,11.7,8,melted,13.6,7,raisins,1.92,3
0.18,7,880,27,94,0.99915,8.38,0.77,9.4,5,cubed,15,7,"nuts, oats, chocolate",1.23,3
0.3,3.5,330,27,135,0.9906,8,0.37,12,8,melted,13.6,7,"nuts, chocolate",1.46,3
0.28,14.7,510,29,149,0.99792,7.96,0.39,9,9,melted,14,7,"chocolate, oats",1.84,3
